timestamp,price
2013-11-15,426.19
2013-11-16,430.0
2013-11-17,464.07
2013-11-18,584.65
2013-11-19,608.05
2013-11-20,610.0
2013-11-21,700.5
2013-11-22,768.99
2013-11-23,843.14
2013-11-24,822.5
2013-11-25,807.0
2013-11-26,852.2
2013-11-27,948.46
2013-11-28,1005.49
2013-11-29,1084.1
2013-11-30,1110.09
2013-12-01,912.15
2013-12-02,1005.98
2013-12-03,1057.0
2013-12-04,1143.09
2013-12-05,1034.9
2013-12-06,800.01
2013-12-07,731.0
2013-12-08,727.32
2013-12-09,871.93
2013-12-10,964.87
2013-12-11,880.12
2013-12-12,864.01
2013-12-13,863.0
2013-12-14,858.42
2013-12-15,854.92
2013-12-16,722.0
2013-12-17,714.05
2013-12-18,575.0
2013-12-19,665.93
2013-12-20,651.56
2013-12-21,605.0
2013-12-22,625.0
2013-12-23,635.37
2013-12-24,647.27
2013-12-25,658.1
2013-12-26,741.41
2013-12-27,711.0
2013-12-28,710.0
2013-12-29,710.0
2013-12-30,738.49
2013-12-31,734.33
2014-01-01,746.78
2014-01-02,763.23
2014-01-03,799.78
2014-01-04,822.82
2014-01-05,908.0
2014-01-06,919.99
2014-01-07,847.03
2014-01-08,819.54
2014-01-09,782.81
2014-01-10,833.87
2014-01-11,884.41
2014-01-12,858.97
2014-01-13,812.89
2014-01-14,823.38
2014-01-15,844.15
2014-01-16,826.11
2014-01-17,786.11
2014-01-18,804.38
2014-01-19,824.99
2014-01-20,829.21
2014-01-21,818.18
2014-01-22,811.0
2014-01-23,812.25
2014-01-24,795.0
2014-01-25,809.92
2014-01-26,826.71
2014-01-27,787.3
2014-01-28,795.0
2014-01-29,801.5
2014-01-30,803.11
2014-01-31,801.46
2014-02-01,816.0
2014-02-02,819.11
2014-02-03,810.0
2014-02-04,809.48
2014-02-05,803.93
2014-02-06,780.0
2014-02-07,739.43
2014-02-08,708.41
2014-02-09,704.0
2014-02-10,659.0
2014-02-11,668.12
2014-02-12,666.57
2014-02-13,634.04
2014-02-14,681.65
2014-02-15,652.08
2014-02-16,616.77
2014-02-17,633.13
2014-02-18,623.71
2014-02-19,630.46
2014-02-20,575.17
2014-02-21,560.02
2014-02-22,593.85
2014-02-23,626.27
2014-02-24,554.0
2014-02-25,517.51
2014-02-26,588.0
2014-02-27,584.68
2014-02-28,575.5
2014-03-01,571.71
2014-03-02,561.9
2014-03-03,683.01
2014-03-04,674.66
2014-03-05,663.5
2014-03-06,658.99
2014-03-07,622.94
2014-03-08,612.27
2014-03-09,643.3
2014-03-10,615.01
2014-03-11,625.48
2014-03-12,644.99
2014-03-13,643.91
2014-03-14,631.95
2014-03-15,639.77
2014-03-16,632.31
2014-03-17,627.6
2014-03-18,617.31
2014-03-19,610.0
2014-03-20,592.0
2014-03-21,582.0
2014-03-22,559.38
2014-03-23,564.99
2014-03-24,572.08
2014-03-25,585.0
2014-03-26,584.0
2014-03-27,517.66
2014-03-28,485.21
2014-03-29,500.0
2014-03-30,452.74
2014-03-31,454.0
2014-04-01,478.8
2014-04-02,437.33
2014-04-03,449.93
2014-04-04,448.1
2014-04-05,454.84
2014-04-06,457.71
